restaurantId,restaurant_name,user_id,date,count_star_ratings,count_checkin,ratings,useful_count,funny_count,cool_count,reviews_count,useful_clicked,funny_clicked,cool_clicked,review
9000001,TuLan999900j,186445,Sun Jun 04 2017 16:19:19 GMT-0700 (PDT),3,4,2,2,2,1,677,false,false,false,"Meggings +1 pork belly disrupt franzen activated charcoal fanny pack thundercats, banjo snackwave biodiesel next level succulents. Prism skateboard venmo actually, vice ramps shoreditch pop-up poke."
9000002,TuLan999901j,676194,Thu Jan 25 2018 02:39:45 GMT-0800 (PST),1,4,2,2,1,2,360,false,false,false,"Edison bulb church-key disrupt coloring book skateboard narwhal, lo-fi austin hexagon snackwave flannel. Scenester portland listicle, twee helvetica yr shoreditch marfa lyft kinfolk cold-pressed authentic tumblr."
9000003,TuLan999902j,80557,Mon Apr 13 2015 13:34:54 GMT-0700 (PDT),5,1,2,1,1,3,258,false,false,false,"Tousled paleo small batch stumptown. Dreamcatcher organic affogato forage jianbing schlitz flannel af fanny pack glossier wolf wayfarers sriracha plaid tote bag."
9000004,TuLan999903j,777763,Fri Mar 27 2015 20:31:21 GMT-0700 (PDT),3,5,3,2,3,3,487,false,false,false,"Sartorial artisan hexagon chia venmo. Chartreuse adaptogen 8-bit vexillologist taxidermy venmo. Four dollar toast hexagon iceland chambray DIY street art art party ramps narwhal letterpress franzen snackwave offal gentrify. VHS franzen copper mug kombucha, taiyaki DIY offal."
9000005,TuLan999904j,242277,Thu May 05 2016 03:39:43 GMT-0700 (PDT),3,0,3,2,3,2,222,false,false,false,"Small batch unicorn twee bespoke, migas ugh synth vexillologist tumeric fashion axe banjo banh mi. Brunch offal wolf mustache green juice tilde hammock hella XOXO."
9000006,TuLan999905j,457649,Fri Sep 21 2018 08:22:05 GMT-0700 (PDT),3,2,3,2,3,3,135,false,false,false,"Tacos locavore tousled tumblr cronut pok pok coloring book chambray celiac tofu pour-over banh mi. Keffiyeh direct trade beard vice palo santo, aesthetic pok pok. Hot chicken keytar health goth post-ironic, yr pickled jianbing glossier."
9000007,TuLan999906j,84153,Fri Sep 22 2017 20:32:19 GMT-0700 (PDT),2,2,4,2,1,1,436,false,false,false,"Mumblecore gochujang swag, pok pok synth adaptogen microdosing stumptown glossier echo park flexitarian keytar before they sold out activated charcoal. Stumptown thundercats franzen direct trade."
9000008,TuLan999907j,593680,Sat Aug 15 2015 13:56:37 GMT-0700 (PDT),4,0,5,3,0,0,687,false,false,false,"Disrupt pinterest flannel seitan microdosing intelligentsia mixtape williamsburg glossier semiotics vegan migas artisan. Cloud bread selvage woke art party chambray adaptogen YOLO unicorn four loko kombucha beard."
9000009,TuLan999908j,85154,Fri Jan 30 2015 03:58:11 GMT-0800 (PST),4,3,1,0,0,1,613,false,false,false,"Gluten-free echo park taxidermy, mixtape hammock umami kitsch. Offal tote bag tilde, cornhole trust fund ramps messenger bag vice succulents photo booth cardigan glossier pug."
9000010,TuLan999909j,719055,Wed Nov 01 2017 03:14:20 GMT-0700 (PDT),3,6,1,2,0,0,130,false,false,false,"Disrupt pinterest flannel seitan microdosing intelligentsia mixtape williamsburg glossier semiotics vegan migas artisan. Cloud bread selvage woke art party chambray adaptogen YOLO unicorn four loko kombucha beard."
